round,global_accuracy,global_logloss,global_precision_bin,global_recall_bin,global_f1_bin,global_precision_macro,global_recall_macro,global_f1_macro,global_tn,global_fp,global_fn,global_tp,global_sensitivity,global_specificity,global_balanced_accuracy,global_roc_auc,global_pr_auc,num-examples,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
0,0.5,0.6931471805599453,0.5,1.0,0.6666666666666666,0.25,0.5,0.3333333333333333,0,9661,0,9661,1.0,0.0,0.5,0.5,0.5,19322,FedAdam,balanced,0.39,0.3,0,1145661099
1,0.6973398198944208,0.6696951999674051,0.8756650246305419,0.4599937894627885,0.6031487513572205,0.7547413352253572,0.6973398198944208,0.6792722174052289,9030,631,5217,4444,0.4599937894627885,0.9346858503260532,0.6973398198944208,0.8248454830748719,0.8220952513241704,19322,FedAdam,balanced,0.39,0.3,0,1145661099
2,0.6989959631508126,0.6465965782005825,0.8749756192705286,0.46434116551081667,0.6067081417365432,0.7552053157994065,0.6989959631508126,0.6814560158716251,9020,641,5175,4486,0.46434116551081667,0.9336507607908084,0.6989959631508126,0.8250701363962155,0.8222643928442152,19322,FedAdam,balanced,0.39,0.3,0,1145661099
3,0.7028257944312183,0.6262191525938643,0.8738790307193284,0.4740710071421178,0.614682592940545,0.7565190906739174,0.7028257944312183,0.6864163533315311,9000,661,5081,4580,0.4740710071421178,0.9315805817203188,0.7028257944312183,0.8268535953440191,0.8237635545173493,19322,FedAdam,balanced,0.39,0.3,0,1145661099
4,0.7110030017596523,0.6081923370657178,0.868026719624481,0.4976710485456992,0.6326315789473684,0.7579631530357767,0.7110030017596523,0.6972234844062896,8930,731,4853,4808,0.4976710485456992,0.9243349549736052,0.7110030017596523,0.8279414196964929,0.8248261422798405,19322,FedAdam,balanced,0.39,0.3,0,1145661099
5,0.7341890073491357,0.5868099484648571,0.8274714140975539,0.5917606872994514,0.6900422450211225,0.7548700017398267,0.7341890073491357,0.7286851616516322,8469,1192,3944,5717,0.5917606872994514,0.87661732739882,0.7341890073491357,0.8285789302805537,0.8255241775833531,19322,FedAdam,balanced,0.39,0.3,0,1145661099
6,0.7434013042128144,0.5669251625567083,0.7950809386372192,0.6558327295311044,0.7187748156551333,0.7511034042256826,0.7434013042128144,0.7414184347619913,8028,1633,3325,6336,0.6558327295311044,0.8309698788945243,0.7434013042128144,0.8297078432197955,0.8266340272504176,19322,FedAdam,balanced,0.39,0.3,0,1145661099
7,0.749353069040472,0.5498657902141515,0.7738122300522846,0.7046889555946589,0.7376347581125738,0.7513587946156519,0.7493530690404719,0.7488520582735274,7671,1990,2853,6808,0.7046889555946589,0.7940171824862851,0.7493530690404719,0.8307265294626434,0.827491616068165,19322,FedAdam,balanced,0.39,0.3,0,1145661099
8,0.7486285063658007,0.535638207089218,0.7571734475374733,0.7320153193251216,0.744381874638177,0.7489032935944229,0.7486285063658007,0.7485591091869295,7393,2268,2589,7072,0.7320153193251216,0.7652416934064796,0.7486285063658007,0.8324577250137707,0.8290924753529407,19322,FedAdam,balanced,0.39,0.3,0,1145661099
9,0.7462995549114998,0.5241489954356343,0.7416472021935615,0.7559258875892765,0.7487184744720115,0.7463908834186805,0.7462995549114999,0.7462760432560727,7117,2544,2358,7303,0.7559258875892765,0.7366732222337232,0.7462995549114999,0.8337565529197801,0.8302506338747793,19322,FedAdam,balanced,0.39,0.3,0,1145661099
10,0.746972363109409,0.5149065151462627,0.736003956478734,0.7702101231756547,0.752718628293966,0.7475069717261233,0.746972363109409,0.7468356560110215,6992,2669,2220,7441,0.7702101231756547,0.7237346030431633,0.746972363109409,0.835872674065905,0.8321764633307142,19322,FedAdam,balanced,0.39,0.3,0,1145661099
11,0.7513714936341993,0.5060591917922478,0.7344338256588474,0.7874961184142428,0.76003996003996,0.7526905265748214,0.7513714936341993,0.7510466123223856,6910,2751,2053,7608,0.7874961184142428,0.7152468688541559,0.7513714936341993,0.8400430745529854,0.8359438443922761,19322,FedAdam,balanced,0.39,0.3,0,1145661099
12,0.7542179898561225,0.49829524799872005,0.734619793656859,0.7959838526032502,0.7640717372944508,0.7560042722519669,0.7542179898561225,0.7537885016474954,6883,2778,1971,7690,0.7959838526032502,0.712452127108995,0.7542179898561225,0.8437744432225961,0.8393588340065075,19322,FedAdam,balanced,0.39,0.3,0,1145661099
13,0.7556153607287031,0.49144407124102446,0.7335224586288416,0.8029189524893904,0.766653488831785,0.7579239136633404,0.7556153607287031,0.7550672920038977,6843,2818,1904,7757,0.8029189524893904,0.7083117689680157,0.7556153607287031,0.8474388487455837,0.8426136591177031,19322,FedAdam,balanced,0.39,0.3,0,1145661099
14,0.7572197495083325,0.48518615101106866,0.7342130065975495,0.8063347479556982,0.7685856642494203,0.7597258788726957,0.7572197495083325,0.7566326786386164,6841,2820,1871,7790,0.8063347479556982,0.7081047510609668,0.7572197495083325,0.8506737151467669,0.845493141412732,19322,FedAdam,balanced,0.39,0.3,0,1145661099
15,0.7616706345098851,0.4783117110836451,0.7398937179730499,0.8070593106303695,0.7720184167533046,0.7638448553435377,0.7616706345098851,0.7611786309844051,6920,2741,1864,7797,0.8070593106303695,0.7162819583894007,0.7616706345098851,0.854373862918896,0.8487969158105377,19322,FedAdam,balanced,0.39,0.3,0,1145661099
