round,global_accuracy,global_logloss,global_precision_bin,global_recall_bin,global_f1_bin,global_precision_macro,global_recall_macro,global_f1_macro,global_tn,global_fp,global_fn,global_tp,global_sensitivity,global_specificity,global_balanced_accuracy,global_roc_auc,global_pr_auc,num-examples,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
0,0.0339,0.6931471805599454,0.0339,1.0,0.0655769416771448,0.01695,0.5,0.0327884708385724,0,9661,0,339,1.0,0.0,0.5,0.5,0.0339,10000,FedYogi,imbalanced,1,0,1,1282538739
1,0.6771,0.6879112914686717,0.0712166172106825,0.7079646017699115,0.12941493664060394,0.528142245256925,0.6919907886191448,0.46560366867632674,6531,3130,99,240,0.7079646017699115,0.676016975468378,0.6919907886191448,0.7602024256514117,0.11775698989247008,10000,FedYogi,imbalanced,1,0,1,1282538739
2,0.7166,0.6809682231137739,0.08319411961242901,0.7345132743362832,0.14945978391356543,0.5351749105269223,0.7252423529325552,0.4897166930126982,6917,2744,90,249,0.7345132743362832,0.7159714315288273,0.7252423529325552,0.7926190482733394,0.20299002694765422,10000,FedYogi,imbalanced,1,0,1,1282538739
3,0.7297,0.6731431197078902,0.08815331010452962,0.7463126843657817,0.15768152072296665,0.5380457995122928,0.737714876496109,0.4983512123893554,7044,2617,86,253,0.7463126843657817,0.7291170686264362,0.737714876496109,0.8017650871933165,0.23953548962507393,10000,FedYogi,imbalanced,1,0,1,1282538739
4,0.7312,0.6648261252308101,0.08832807570977919,0.7433628318584071,0.15789473684210525,0.5380775680074011,0.7370680218706175,0.4989854455271926,7060,2601,87,252,0.7433628318584071,0.7307732118828278,0.7370680218706175,0.8031024595131904,0.23823594926439157,10000,FedYogi,imbalanced,1,0,1,1282538739
5,0.7327,0.6562610845176148,0.08879492600422834,0.7433628318584071,0.15864022662889518,0.5383237405782102,0.737844339022051,0.4998753056107087,7075,2586,87,252,0.7433628318584071,0.7323258461856951,0.737844339022051,0.8040844205590155,0.24362431709032847,10000,FedYogi,imbalanced,1,0,1,1282538739
6,0.7406,0.647492237347244,0.09104098657961553,0.7404129793510325,0.16214470284237725,0.5394456624186218,0.7405097709093429,0.5043449496227976,7155,2506,88,251,0.7404129793510325,0.7406065624676534,0.7405097709093429,0.8104158708843359,0.25499330261586056,10000,FedYogi,imbalanced,1,0,1,1282538739
7,0.7472,0.638658961780148,0.09327387588257154,0.7404129793510325,0.16567656765676567,0.5406169625684578,0.7439255663756508,0.508353899620958,7221,2440,88,251,0.7404129793510325,0.7474381534002691,0.7439255663756508,0.8169085386947917,0.2639676288541463,10000,FedYogi,imbalanced,1,0,1,1282538739
8,0.7518,0.62991418074237,0.09520211560256894,0.7433628318584071,0.16878767582049564,0.5416851051289059,0.7477294440836388,0.5114539060893944,7266,2395,87,252,0.7433628318584071,0.7520960563088707,0.7477294440836388,0.8193701587045688,0.2783592719628508,10000,FedYogi,imbalanced,1,0,1,1282538739
9,0.7541,0.6214403022260132,0.09665144596651445,0.7492625368731564,0.17121671722278395,0.5425606660109296,0.7517661406030205,0.5134249499341185,7287,2374,85,254,0.7492625368731564,0.7542697443328847,0.7517661406030205,0.8196434345553192,0.287870370804128,10000,FedYogi,imbalanced,1,0,1,1282538739
10,0.7575,0.6131746791032925,0.09791827293754819,0.7492625368731564,0.17320150017047392,0.543220546136611,0.7535257928129367,0.5155572157792664,7321,2340,85,254,0.7492625368731564,0.7577890487527171,0.7535257928129367,0.8205057038318772,0.29594151914886796,10000,FedYogi,imbalanced,1,0,1,1282538739
11,0.7612,0.6050950699679192,0.0990215264187867,0.7463126843657817,0.17484450587422254,0.5437350748279293,0.7540175366762145,0.517622182786287,7359,2302,86,253,0.7463126843657817,0.7617223889866473,0.7540175366762145,0.8226778651751606,0.2988734486799235,10000,FedYogi,imbalanced,1,0,1,1282538739
12,0.7663,0.5971478952718314,0.10167464114832536,0.7522123893805309,0.1791359325605901,0.5452313408624703,0.7595033585449389,0.521445771911963,7408,2253,84,255,0.7522123893805309,0.7667943277093469,0.7595033585449389,0.8251584160259952,0.30583239042439825,10000,FedYogi,imbalanced,1,0,1,1282538739
13,0.7701,0.589483021154903,0.10259529602595296,0.7463126843657817,0.1803921568627451,0.5455901884961196,0.7586236851080539,0.5233452497020907,7448,2213,86,253,0.7463126843657817,0.7709346858503261,0.7586236851080539,0.8280505600017586,0.3090747407876576,10000,FedYogi,imbalanced,1,0,1,1282538739
14,0.7718,0.5820754485302922,0.10265848670756646,0.7404129793510325,0.18031609195402298,0.5455052857098388,0.7566571676591618,0.5238824883561937,7467,2194,88,251,0.7404129793510325,0.7729013559672911,0.7566571676591618,0.8313787239941388,0.3126541875468359,10000,FedYogi,imbalanced,1,0,1,1282538739
15,0.7727,0.5751337318171466,0.10271158586688578,0.7374631268436578,0.18031013342949873,0.5454742174642386,0.7556997861730969,0.5241830460495145,7477,2184,89,250,0.7374631268436578,0.7739364455025359,0.7556997861730969,0.8336629437030373,0.3113298913981353,10000,FedYogi,imbalanced,1,0,1,1282538739
16,0.7742,0.5683686473694602,0.10203235172127748,0.7256637168141593,0.1789090909090909,0.5448888863626812,0.7507834162168302,0.5240052700922266,7496,2165,93,246,0.7256637168141593,0.7759031156195011,0.7507834162168302,0.8358864015188643,0.31172709685082406,10000,FedYogi,imbalanced,1,0,1,1282538739
17,0.775,0.5619016711586498,0.10237203495630462,0.7256637168141593,0.17943107221006566,0.5450651803055842,0.7511974520309281,0.5245283765268662,7504,2157,93,246,0.7256637168141593,0.776731187247697,0.7511974520309281,0.8368686679008354,0.31400588550732045,10000,FedYogi,imbalanced,1,0,1,1282538739
18,0.7762,0.5557220881084423,0.1028858218318695,0.7256637168141593,0.18021978021978022,0.5453317267918711,0.751818505752075,0.5253154488823278,7516,2145,93,246,0.7256637168141593,0.7779732946899907,0.751818505752075,0.8380484867693268,0.3154607212467979,10000,FedYogi,imbalanced,1,0,1,1282538739
19,0.777,0.5497806537093104,0.10289794204115918,0.7227138643067846,0.1801470588235294,0.5452801824656511,0.7508093697892478,0.5255480664488017,7525,2136,94,245,0.7227138643067846,0.778904875271711,0.7508093697892478,0.839129376726485,0.31604466757620775,10000,FedYogi,imbalanced,1,0,1,1282538739
