round,train_accuracy,train_logloss,train_precision_bin,train_recall_bin,train_f1_bin,train_precision_macro,train_recall_macro,train_f1_macro,train_tn,train_fp,train_fn,train_tp,train_sensitivity,train_specificity,train_balanced_accuracy,train_roc_auc,train_pr_auc,comm_download_bytes,comm_upload_bytes,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
1,0.8205876629694492,0.41530835657185966,0.81781934144905,0.8292554881196234,0.8226259707238932,0.8215017198149536,0.8204636082281896,0.8200159687326491,112.89193747162221,26.21858986832717,24.071544399040025,117.12778102095089,0.8292554881196234,0.8116717283367563,0.8204636082281896,0.9045906629159055,0.9049812601567885,47.999999999999964,47.999999999999964,FedAvg,balanced,1,0,1,794161987
2,0.8323279496659528,0.38608067494005516,0.8313854523562499,0.8362751092153509,0.833154127474163,0.8328421597880321,0.8325471484503724,0.8319934292276926,115.47201141596943,23.9291042355841,23.0747227086982,117.83401439968866,0.8362751092153509,0.8288191876853936,0.8325471484503724,0.9120213124308357,0.9118070011547138,47.999999999999964,47.999999999999964,FedAvg,balanced,1,0,1,794161987
3,0.8237659726276186,0.3906474025136392,0.8160980966943475,0.8345306273436774,0.8245705588646159,0.8244366217453718,0.8238061958256276,0.8233615892303286,114.65609392229359,26.325030810144654,23.073425439449952,116.25530258805219,0.8345306273436774,0.8130817643075782,0.8238061958256276,0.9064996679827094,0.905041171581498,47.999999999999964,47.999999999999964,FedAvg,balanced,1,0,1,794161987
4,0.8300577284815465,0.38153930111813084,0.8314467951220298,0.8308337031124495,0.8305861083745999,0.8304021486763722,0.8297412797249177,0.8295238535720133,115.39955892845563,23.817798534085753,23.81714989946163,117.2753453979374,0.8308337031124495,0.8286488563373862,0.8297412797249177,0.9109283495563038,0.9117578623103524,47.999999999999964,47.999999999999964,FedAvg,balanced,1,0,1,794161987
5,0.8332360381397159,0.37486803377170796,0.8286312445326613,0.8377182576804914,0.8326867867592068,0.8335550515080161,0.8333231830995745,0.8329483934736562,117.00116754232342,24.16326133489006,22.582279302069153,116.56314458065773,0.8377182576804914,0.8289281085186575,0.8333231830995745,0.9136632634957271,0.9112156521731182,47.999999999999964,47.999999999999964,FedAvg,balanced,1,0,1,794161987
6,0.8214957514432122,0.389797329455073,0.8201759695867107,0.8249902292960224,0.8219094730999352,0.8218930938348891,0.8216566545965355,0.8210982857798546,114.58370629824223,25.45391450995654,24.582084711681908,115.69014724005967,0.8249902292960224,0.8183230798970489,0.8216566545965355,0.905517179682957,0.9043809163637953,47.999999999999964,47.999999999999964,FedAvg,balanced,1,0,1,794161987
7,0.8268794188233766,0.38514378037497254,0.8248453537321454,0.8342730609080501,0.8290463740041861,0.8271589881931275,0.8267134019326299,0.826412655725783,113.74560550042162,25.092235843549325,23.43549328663164,118.03651812933775,0.8342730609080501,0.8191537429572102,0.8267134019326299,0.9082981770894665,0.9082577117579614,47.999999999999964,47.999999999999964,FedAvg,balanced,1,0,1,794161987
8,0.8294090938574301,0.3826428242127251,0.8255002504277141,0.836158275321345,0.8303147218758522,0.829754169862075,0.8294701816938244,0.8290715796001898,115.28864240773174,24.837322436271652,22.981319322825453,117.20256859311151,0.836158275321345,0.8227820880663037,0.8294701816938244,0.9101751719002705,0.907953235992057,47.999999999999964,47.999999999999964,FedAvg,balanced,1,0,1,794161987
9,0.8339495362262439,0.38047507041537215,0.8309465985973644,0.8378770814639341,0.833760754082852,0.8346317455497967,0.8337614886962185,0.8335314457997743,116.50814036453271,23.928974508659273,22.61730557177142,117.25543231497699,0.8378770814639341,0.8296458959285029,0.8337614886962185,0.9103856507723629,0.9073721175719528,47.999999999999964,47.999999999999964,FedAvg,balanced,1,0,1,794161987
10,0.829149640007784,0.3803492885752863,0.8253542674470878,0.8346169179817228,0.8295238008534684,0.8294162267155465,0.8289720781090778,0.8287238617613012,115.51028085879226,24.781604722060063,23.10987870532529,116.90808847376272,0.8346169179817228,0.8233272382364321,0.8289720781090778,0.910706531023631,0.9095458605101849,47.999999999999964,47.999999999999964,FedAvg,balanced,1,0,1,794161987
11,0.828890186158137,0.38289871101811934,0.829424252987906,0.8318239060302322,0.8301445850214024,0.8292691144311121,0.8285639236511959,0.8284371538474076,114.85528961535972,24.256080949601085,23.70681714989946,117.49166504508013,0.8318239060302322,0.8253039412721602,0.8285639236511959,0.9095826108884678,0.910199165631416,47.999999999999964,47.999999999999964,FedAvg,balanced,1,0,1,794161987
12,0.82460919763897,0.38429768795119423,0.8231492740436517,0.8298523854239167,0.8257851802853952,0.8252178727933078,0.8246364830504468,0.8241804299255716,114.32697671401702,25.199260556528507,23.963676461049488,116.81993902834536,0.8298523854239167,0.8194205806769767,0.8246364830504468,0.9089017854112391,0.9086570495434705,47.999999999999964,47.999999999999964,FedAvg,balanced,1,0,1,794161987
13,0.8330414477524811,0.3780495199528345,0.8324660516278592,0.8341694911640428,0.8328893126125733,0.8333879170893639,0.8326295594889453,0.832577117285444,116.63987805669066,23.615813712135957,23.180579879353953,116.87358111175976,0.8341694911640428,0.8310896278138479,0.8326295594889453,0.9113846484028394,0.909396508314472,47.999999999999964,47.999999999999964,FedAvg,balanced,1,0,1,794161987
14,0.8283064149964322,0.380556293579785,0.8251385242274254,0.8333745538429075,0.8286431094012381,0.8286259231255408,0.8285533313982875,0.8279786996728102,115.65849387040281,24.781215541285587,23.344814166180196,116.52532918207179,0.8333745538429075,0.8237321089536669,0.8285533313982875,0.9107992254950252,0.9108429953724846,47.999999999999964,47.999999999999964,FedAvg,balanced,1,0,1,794161987
