round,global_accuracy,global_logloss,global_precision_bin,global_recall_bin,global_f1_bin,global_precision_macro,global_recall_macro,global_f1_macro,global_tn,global_fp,global_fn,global_tp,global_sensitivity,global_specificity,global_balanced_accuracy,global_roc_auc,global_pr_auc,num-examples,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
0,0.5,0.6931471805599453,0.5,1.0,0.6666666666666666,0.25,0.5,0.3333333333333333,0,9661,0,9661,1.0,0.0,0.5,0.5,0.5,19322,FedAvg,balanced,0.39,0.3,1,1145661099
1,0.8178242417969155,0.4170970874076507,0.8126463700234192,0.8261049580788739,0.8193203983163946,0.8179114388797235,0.8178242417969155,0.817811749100792,7821,1840,1680,7981,0.8261049580788739,0.809543525514957,0.8178242417969155,0.9011678597767282,0.8955106455396963,19322,FedAvg,balanced,0.39,0.3,1,1145661099
2,0.8236207431942864,0.3946073649666996,0.8224858174316658,0.8253803954042025,0.8239305641661501,0.8236247514498103,0.8236207431942864,0.8236201970561152,7940,1721,1687,7974,0.8253803954042025,0.8218610909843701,0.8236207431942864,0.9072785308298488,0.9039503942011928,19322,FedAvg,balanced,0.39,0.3,1,1145661099
3,0.8254321498809647,0.3874643064436475,0.828526645768025,0.8207224924956009,0.8246061047267432,0.8254610259192874,0.8254321498809647,0.8254282777278181,8020,1641,1732,7929,0.8207224924956009,0.8301418072663286,0.8254321498809647,0.9093773701270931,0.9081511333894852,19322,FedAvg,balanced,0.39,0.3,1,1145661099
4,0.8264672394162095,0.38614155843419057,0.8328408611228366,0.8168926612151951,0.8247896744526311,0.826586995663998,0.8264672394162095,0.8264513297674546,8077,1584,1769,7892,0.8168926612151951,0.8360418176172238,0.8264672394162095,0.9094416868901618,0.9082950604137257,19322,FedAvg,balanced,0.39,0.3,1,1145661099
5,0.8260014491253493,0.38503008726784443,0.8295490216595166,0.8206189835420764,0.8250598397335831,0.8260392317718985,0.8260014491253493,0.8259964080784666,8032,1629,1733,7928,0.8206189835420764,0.8313839147086223,0.8260014491253493,0.909049207852225,0.9093715966718761,19322,FedAvg,balanced,0.39,0.3,1,1145661099
6,0.8248110961598178,0.38580621271047166,0.8259921047163931,0.8229996894731394,0.8244931819360191,0.8248153592888896,0.8248110961598178,0.8248105213291193,7986,1675,1710,7951,0.8229996894731394,0.8266225028464962,0.8248110961598178,0.9087831766633198,0.9067927190367924,19322,FedAvg,balanced,0.39,0.3,1,1145661099
7,0.8251733774971535,0.38594495770286086,0.8242336670451027,0.8266225028464962,0.8254263565891473,0.8251761089300049,0.8251733774971535,0.8251730103667204,7958,1703,1675,7986,0.8266225028464962,0.8237242521478108,0.8251733774971535,0.9083445412676785,0.9054462226101381,19322,FedAvg,balanced,0.39,0.3,1,1145661099
8,0.825276886450678,0.38600049754482985,0.8277876290810473,0.8214470551702723,0.8246051537822111,0.8252959717053927,0.825276886450678,0.8252743236430131,8010,1651,1725,7936,0.8214470551702723,0.8291067177310837,0.825276886450678,0.9092298583506595,0.9080354386444665,19322,FedAvg,balanced,0.39,0.3,1,1145661099
9,0.8250181140668668,0.3854319194281176,0.8265391014975042,0.822689162612566,0.8246096384292162,0.8250251658322056,0.8250181140668668,0.8250171649573663,7993,1668,1713,7948,0.822689162612566,0.8273470655211675,0.8250181140668668,0.9092585828620351,0.9084706358900287,19322,FedAvg,balanced,0.39,0.3,1,1145661099
10,0.8255874133112514,0.38471695273245876,0.8180163785259327,0.8374909429665666,0.827639116202946,0.8257720531162163,0.8255874133112514,0.8255626965887974,7861,1800,1570,8091,0.8374909429665666,0.8136838836559362,0.8255874133112514,0.9085979833850185,0.9059032007933228,19322,FedAvg,balanced,0.39,0.3,1,1145661099
