round,global_accuracy,global_logloss,global_precision_bin,global_recall_bin,global_f1_bin,global_precision_macro,global_recall_macro,global_f1_macro,global_tn,global_fp,global_fn,global_tp,global_sensitivity,global_specificity,global_balanced_accuracy,global_roc_auc,global_pr_auc,num-examples,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
0,0.5,0.6931471805599453,0.5,1.0,0.6666666666666666,0.25,0.5,0.3333333333333333,0,9661,0,9661,1.0,0.0,0.5,0.5,0.5,19322,FedAdagrad,balanced,1,0,0,1410143363
1,0.6893696304730359,0.6622238523095471,0.880274371232592,0.4383604181761722,0.5852681039248203,0.7531755702899918,0.6893696304730359,0.6684821406600769,9085,576,5426,4235,0.4383604181761722,0.9403788427698996,0.6893696304730359,0.8243657590924625,0.8214477704420597,19322,FedAdagrad,balanced,1,0,0,1410143363
2,0.7166442397267364,0.6439402411444131,0.8491825158491825,0.5268605734396026,0.6502714787607793,0.7531101654876164,0.7166442397267364,0.7060570495722205,8757,904,4571,5090,0.5268605734396026,0.9064279060138702,0.7166442397267364,0.8220440021586347,0.818826200374867,19322,FedAdagrad,balanced,1,0,0,1410143363
3,0.7372425214781079,0.6281866409967568,0.8141447368421053,0.6148431839354104,0.7005956242259833,0.7523658991045716,0.7372425214781078,0.7332461221604856,8305,1356,3721,5940,0.6148431839354104,0.8596418590208053,0.7372425214781078,0.8289002783856216,0.8249477964329751,19322,FedAdagrad,balanced,1,0,0,1410143363
4,0.7376565572922058,0.6165682991618575,0.8111954459203036,0.6195010868440121,0.7025060156112448,0.7517129272468229,0.7376565572922058,0.7339422001222158,8268,1393,3676,5985,0.6195010868440121,0.8558120277403996,0.7376565572922058,0.828812872729597,0.824826828746746,19322,FedAdagrad,balanced,1,0,0,1410143363
5,0.7378635751992547,0.6090751829866036,0.8223001402524545,0.6068729945140254,0.698350306711929,0.7553921961104793,0.7378635751992547,0.7332871745887473,8394,1267,3798,5863,0.6068729945140254,0.868854155884484,0.7378635751992547,0.8307816428108403,0.826967103482511,19322,FedAdagrad,balanced,1,0,0,1410143363
6,0.7492495600869475,0.597570881474662,0.7853756814410998,0.6859538350067281,0.7323056522459804,0.7533089359061435,0.7492495600869475,0.7482409254172224,7850,1811,3034,6627,0.6859538350067281,0.812545285167167,0.7492495600869475,0.8307525968763609,0.8269802546234826,19322,FedAdagrad,balanced,1,0,0,1410143363
7,0.751940792878584,0.5902138654788429,0.7749039981929071,0.7101749301314564,0.7411288144747502,0.7537110743734883,0.751940792878584,0.7515073254151285,7668,1993,2800,6861,0.7101749301314564,0.7937066556257116,0.751940792878584,0.8323335271264655,0.8292501548709776,19322,FedAdagrad,balanced,1,0,0,1410143363
8,0.7563399234033744,0.5841794322022118,0.7762409369771333,0.7203188075768554,0.7472350477826694,0.7576772899619663,0.7563399234033744,0.7560233586400609,7655,2006,2702,6959,0.7203188075768554,0.7923610392298934,0.7563399234033744,0.8352916696634908,0.8321201658550339,19322,FedAdagrad,balanced,1,0,0,1410143363
9,0.7572197495083325,0.5783069782463465,0.775254762959681,0.7244591657178346,0.7489967360479426,0.758328760924177,0.7572197495083325,0.7569589042304359,7632,2029,2662,6999,0.7244591657178346,0.7899803332988303,0.7572197495083325,0.8366495108513563,0.8333961299923119,19322,FedAdagrad,balanced,1,0,0,1410143363
10,0.7590311561950108,0.5719146967850582,0.7702191987906274,0.7383293654901149,0.7539372159391184,0.7594759645677618,0.7590311561950108,0.7589278413130336,7533,2128,2528,7133,0.7383293654901149,0.7797329468999068,0.7590311561950108,0.8387290219059595,0.8351287869605837,19322,FedAdagrad,balanced,1,0,0,1410143363
11,0.7599627367767312,0.5665317307808994,0.7718367788721723,0.7381223475830659,0.7546031746031746,0.7604596965867357,0.7599627367767312,0.7598481837359471,7553,2108,2530,7131,0.7381223475830659,0.7818031259703965,0.7599627367767312,0.839403528289267,0.8356711354281664,19322,FedAdagrad,balanced,1,0,0,1410143363
12,0.7564434323568989,0.5608805844054594,0.755280783101494,0.7587206293344374,0.7569967985128576,0.7564487517462342,0.7564434323568989,0.7564421693570617,7286,2375,2331,7330,0.7587206293344374,0.7541662353793603,0.7564434323568989,0.8397330941116884,0.8357507789520957,19322,FedAdagrad,balanced,1,0,0,1410143363
13,0.7514232481109616,0.5573266176118565,0.7427543473915651,0.7692785425939344,0.7557838002745716,0.7517442840435713,0.7514232481109615,0.7513439737000196,7087,2574,2229,7432,0.7692785425939344,0.7335679536279888,0.7514232481109615,0.8383680316180908,0.8344105991730846,19322,FedAdagrad,balanced,1,0,0,1410143363
14,0.754321498809647,0.5532261840776189,0.7484830097087378,0.7660697650346755,0.757174280014323,0.7544619839724525,0.754321498809647,0.7542875851498689,7174,2487,2260,7401,0.7660697650346755,0.7425732325846186,0.754321498809647,0.8397886788804375,0.8358619143750432,19322,FedAdagrad,balanced,1,0,0,1410143363
15,0.7574267674153814,0.5497211438178091,0.7574534161490684,0.7573750129386192,0.7574142125148802,0.7574267701734785,0.7574267674153814,0.7574267667656427,7318,2343,2344,7317,0.7573750129386192,0.7574785218921437,0.7574267674153814,0.8412554396440748,0.8373170780298635,19322,FedAdagrad,balanced,1,0,0,1410143363
16,0.7590311561950108,0.5471866194783538,0.7637264200653389,0.7501293861919056,0.7568668407310705,0.7591132863064414,0.7590311561950109,0.7590120599469449,7419,2242,2414,7247,0.7501293861919056,0.7679329261981162,0.7590311561950109,0.8411195633839985,0.8372973662991148,19322,FedAdagrad,balanced,1,0,0,1410143363
17,0.7613601076493116,0.543849719076446,0.7709808971882378,0.7436083221198634,0.7570472627641077,0.7616899687860421,0.7613601076493117,0.7612848823355245,7527,2134,2477,7184,0.7436083221198634,0.77911189317876,0.7613601076493117,0.8426522694544307,0.8388413912736434,19322,FedAdagrad,balanced,1,0,0,1410143363
18,0.7612048442190249,0.5406041306039826,0.7671784012705135,0.7500258772383811,0.7585051816183398,0.7613354798698422,0.7612048442190249,0.7611749984250978,7462,2199,2415,7246,0.7500258772383811,0.7723838111996688,0.7612048442190249,0.8434527844085282,0.8396869109024422,19322,FedAdagrad,balanced,1,0,0,1410143363
19,0.7624987061380809,0.5375461203165155,0.7685302837780601,0.7512679846806749,0.7598010991886941,0.7626312078942943,0.762498706138081,0.7624687465338015,7475,2186,2403,7258,0.7512679846806749,0.773729427595487,0.762498706138081,0.8452381504667477,0.8414263585724879,19322,FedAdagrad,balanced,1,0,0,1410143363
20,0.7641548493944726,0.5347511046348474,0.7711432214194646,0.7512679846806749,0.7610758664080113,0.7643304401749189,0.7641548493944726,0.7641156757823102,7507,2154,2403,7258,0.7512679846806749,0.7770417141082704,0.7641548493944726,0.8464339086974745,0.842499774139007,19322,FedAdagrad,balanced,1,0,0,1410143363
