round,global_accuracy,global_logloss,global_precision_bin,global_recall_bin,global_f1_bin,global_precision_macro,global_recall_macro,global_f1_macro,global_tn,global_fp,global_fn,global_tp,global_sensitivity,global_specificity,global_balanced_accuracy,global_roc_auc,global_pr_auc,num-examples,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
0,0.5,0.6931471805599453,0.5,1.0,0.6666666666666666,0.25,0.5,0.3333333333333333,0,9661,0,9661,1.0,0.0,0.5,0.5,0.5,19322,FedAvg,balanced,0.39,0.3,1,1954324947
1,0.8130628299347894,0.4223097696267372,0.8077118730287923,0.8217575820308457,0.8146741918932786,0.8131575271601351,0.8130628299347894,0.8130486966566738,7771,1890,1722,7939,0.8217575820308457,0.8043680778387331,0.8130628299347894,0.8996204325281424,0.8963541138394714,19322,FedAvg,balanced,0.39,0.3,1,1954324947
2,0.8234654797639995,0.39624199650021724,0.8115031897926634,0.8426663906427906,0.8267912456202712,0.8239431987714663,0.8234654797639995,0.8234003718998935,7770,1891,1520,8141,0.8426663906427906,0.8042645688852086,0.8234654797639995,0.9058193877937711,0.9022517225375415,19322,FedAvg,balanced,0.39,0.3,1,1954324947
3,0.8255874133112514,0.3891107069380518,0.8346632620491542,0.8120277403995445,0.8231899265477439,0.8258270457177143,0.8255874133112514,0.8255553390908654,8107,1554,1816,7845,0.8120277403995445,0.8391470862229583,0.8255874133112514,0.9094207515320016,0.9088915184712758,19322,FedAvg,balanced,0.39,0.3,1,1954324947
4,0.8251216230203913,0.3883603337031161,0.8154247840931914,0.8404927026187765,0.827768999439319,0.8254291797441609,0.8251216230203913,0.8250802947262298,7823,1838,1541,8120,0.8404927026187765,0.809750543422006,0.8251216230203913,0.9067924962405015,0.9035186015936492,19322,FedAvg,balanced,0.39,0.3,1,1954324947
5,0.8249663595901046,0.3846678965148271,0.8194769512567416,0.8335576027326363,0.8264573070607554,0.8250623302887183,0.8249663595901046,0.8249534394982206,7887,1774,1608,8053,0.8335576027326363,0.8163751164475728,0.8249663595901046,0.9092279940966577,0.9071772910891339,19322,FedAvg,balanced,0.39,0.3,1,1954324947
6,0.8260014491253493,0.3847745675130473,0.8296870093164451,0.8204119656350274,0.8250234204226086,0.826042194391051,0.8260014491253493,0.8259960128361112,8034,1627,1735,7926,0.8204119656350274,0.8315909326156713,0.8260014491253493,0.9090844251102971,0.9071854610541412,19322,FedAvg,balanced,0.39,0.3,1,1954324947
7,0.8257426767415381,0.3851442917560152,0.8169822723609992,0.8395611220370562,0.8281178212261984,0.8259916684351303,0.8257426767415381,0.8257093960499924,7844,1817,1550,8111,0.8395611220370562,0.8119242314460201,0.8257426767415381,0.9086415683578924,0.9069778786140121,19322,FedAvg,balanced,0.39,0.3,1,1954324947
8,0.8260014491253493,0.3858852229198333,0.8150445133540062,0.8433909533174619,0.8289754807203175,0.8263962513150728,0.8260014491253493,0.8259488169429039,7812,1849,1513,8148,0.8433909533174619,0.8086119449332367,0.8260014491253493,0.9085018564487776,0.9060648140163654,19322,FedAvg,balanced,0.39,0.3,1,1954324947
9,0.826570748369734,0.38354176546996355,0.8284405579845929,0.8237242521478108,0.8260756734312555,0.8265813329239555,0.826570748369734,0.826569343140771,8013,1648,1703,7958,0.8237242521478108,0.8294172445916572,0.826570748369734,0.9094626758188395,0.9078379473887577,19322,FedAvg,balanced,0.39,0.3,1,1954324947
