round,train_accuracy,train_logloss,train_precision_bin,train_recall_bin,train_f1_bin,train_precision_macro,train_recall_macro,train_f1_macro,train_tn,train_fp,train_fn,train_tp,train_sensitivity,train_specificity,train_balanced_accuracy,train_roc_auc,train_pr_auc,comm_download_bytes,comm_upload_bytes,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
1,0.7717514124293786,0.7307563110909785,0.1799998465264903,0.7745251048735042,0.22539308126921906,0.5847161141335698,0.7732936138128046,0.5420917504686235,108.23678593848088,31.928311362209666,1.1274325172630255,3.5266792215944753,0.7745251048735042,0.7720621227521053,0.7732936138128046,0.876402441552095,0.5018405514484076,47.99999999999997,47.99999999999997,FedAdam,imbalanced,1,0,1,428956419
2,0.7884494664155682,0.6254516150082556,0.189950260688422,0.7925583156468278,0.25286260725791637,0.5905398002241766,0.790183929108471,0.5614218479107299,110.38895166352793,29.629880728185814,1.0000000000000002,3.800376647834274,0.7925583156468278,0.7878095425701144,0.790183929108471,0.8680933757562161,0.5042554276038564,47.99999999999997,47.99999999999997,FedAdam,imbalanced,1,0,1,428956419
3,0.7922159447583177,0.7033466111028707,0.1817845507300867,0.7087939297920465,0.23145285198745602,0.5860487313010219,0.7511475438780701,0.5507685092826654,111.4344005021971,28.949654739485258,1.145637162586315,3.2895166352793472,0.7087939297920465,0.7935011579640934,0.7511475438780701,0.8562413521299134,0.4913386021869964,47.99999999999997,47.99999999999997,FedAdam,imbalanced,1,0,1,428956419
4,0.8195856873822974,0.4818970382195865,0.2064908811661532,0.723539742325053,0.2667013289300281,0.597741671427028,0.772877671256264,0.5789503212055969,115.22435655994977,24.831512868801,1.2913998744507216,3.4719397363465148,0.723539742325053,0.8222156001874747,0.772877671256264,0.8641889057862409,0.5327966237203776,47.99999999999997,47.99999999999997,FedAdam,imbalanced,1,0,1,428956419
5,0.81368487131199,0.5314205516810244,0.18706137082410373,0.7598478960531689,0.26552703519401405,0.5883854008895012,0.7875743621836762,0.5766266906346241,114.27746390458253,25.814061519146257,1.1639673571876963,3.5637162586315116,0.7598478960531689,0.8153008283141832,0.7875743621836762,0.8493925701969053,0.5202439924431026,47.99999999999997,47.99999999999997,FedAdam,imbalanced,1,0,1,428956419
6,0.8072818581293154,0.5224834190675431,0.17885119803170596,0.7882932273139431,0.24862085839112488,0.5849425630934155,0.7977890465166727,0.5661149517827626,113.1881983678594,26.9398618957941,0.9638418079096046,3.727306967984933,0.7882932273139431,0.807284865719402,0.7977890465166727,0.874306444939475,0.5274116253069625,47.99999999999997,47.99999999999997,FedAdam,imbalanced,1,0,1,428956419
7,0.8041431261770243,0.5143101515096266,0.20765146378137436,0.7834162357137877,0.27322778564441025,0.5991259564512209,0.793942863535466,0.5766655522670655,112.8020087884495,27.34387947269303,1.0185812931575642,3.6547394852479584,0.7834162357137877,0.8044694913571447,0.793942863535466,0.8765453250284461,0.5308762733144208,47.99999999999997,47.99999999999997,FedAdam,imbalanced,1,0,1,428956419
8,0.8168236032642814,0.5252930977698553,0.15301347102825172,0.7763352066082763,0.23831483943290946,0.5722030131805581,0.7972458634729566,0.5645733783083166,114.87708725674827,25.486880100439418,1.0369114877589456,3.41833019460138,0.7763352066082763,0.8181565203376365,0.7972458634729566,0.8934102313980753,0.5005190106146018,47.99999999999997,47.99999999999997,FedAdam,imbalanced,1,0,1,428956419
9,0.8254865034526051,0.5038931926646933,0.21327461027956296,0.7907380503990673,0.2763095436756835,0.6023724983275648,0.8087626329314609,0.586986052440603,115.70973006905207,24.235907093534205,1.0361581920903957,3.8374136848713096,0.7907380503990673,0.8267872154638547,0.8087626329314609,0.8959649404320181,0.5369511321398192,47.99999999999997,47.99999999999997,FedAdam,imbalanced,1,0,1,428956419
10,0.8326428123038294,0.448776761349209,0.21267345302153182,0.8101753704201916,0.29860434271932784,0.602565174853435,0.8214607095329526,0.5998774701080634,116.52492153170117,23.34865034526051,0.8906465787821723,4.054990583804142,0.8101753704201916,0.8327460486457138,0.8214607095329526,0.8979732145230516,0.5479305194501733,47.99999999999997,47.99999999999997,FedAdam,imbalanced,1,0,1,428956419
11,0.82736974262398,0.5776371207485327,0.22189592719780618,0.750736505943662,0.27665530074400435,0.6065928563461215,0.7898739073209421,0.5864246984556183,116.23063402385435,23.952165725047088,1.0544883866917767,3.581920903954802,0.750736505943662,0.8290113086982219,0.7898739073209421,0.8882888965293787,0.4937047797071479,47.99999999999997,47.99999999999997,FedAdam,imbalanced,1,0,1,428956419
12,0.8394224733207782,0.43987336003049443,0.2023782876293917,0.7345659446224417,0.2772194545541491,0.595924761961352,0.7885039243024351,0.5910283138751194,118.0204645323289,21.999497802887625,1.2543628374136848,3.544883866917765,0.7345659446224417,0.8424419039824281,0.7885039243024351,0.865026054563732,0.5391958166427415,47.99999999999997,47.99999999999997,FedAdam,imbalanced,1,0,1,428956419
13,0.8018832391713748,0.6037829701369098,0.17906079188521037,0.7776898434619715,0.2572757210334072,0.584603963544412,0.7899231719157962,0.5686559555489905,112.23264281230382,27.604143126177025,1.0912743251726302,3.8911487758945373,0.7776898434619715,0.8021565003696212,0.7899231719157962,0.8750539551076469,0.5122386611479159,47.99999999999997,47.99999999999997,FedAdam,imbalanced,1,0,1,428956419
14,0.8355304456999371,0.5215211037883826,0.19871041360690594,0.7905752213191007,0.295922677408722,0.5951406064017377,0.8137362954356182,0.5992897847833758,117.11173885750155,22.79937225360954,1.0177024482109231,3.8903954802259877,0.7905752213191007,0.836897369552136,0.8137362954356182,0.8870128237859594,0.5293686066115252,47.99999999999997,47.99999999999997,FedAdam,imbalanced,1,0,1,428956419
