round,train_accuracy,train_logloss,train_precision_bin,train_recall_bin,train_f1_bin,train_precision_macro,train_recall_macro,train_f1_macro,train_tn,train_fp,train_fn,train_tp,train_sensitivity,train_specificity,train_balanced_accuracy,train_roc_auc,train_pr_auc,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
1,0.76290693850707,0.8527239073507202,0.13125083575111168,0.8206828111053694,0.21487298217575537,0.5616777793045865,0.7909228477348804,0.5336514501518476,106.10884577441632,33.36501150937192,0.9536336731338377,4.3830976652416975,0.8206828111053694,0.7611628843643914,0.7909228477348804,0.8718713407949694,0.512861199082998,FedAvg,imbalanced,0.39,0,1,42
2,0.7926388432467959,0.6907919888869818,0.12796442490411472,0.774190309270822,0.2097114070959252,0.5601521805240105,0.7831033812715474,0.5427781076190729,111.29378902398949,29.181728557344726,0.8577062109760105,3.5721327637200124,0.774190309270822,0.7920164532722733,0.7831033812715474,0.8386200254165962,0.4528867988714447,FedAvg,imbalanced,0.39,0,1,42
3,0.7911871095034527,0.6933292923595419,0.1565258376145115,0.801992608947558,0.23343278637303544,0.5742804764825103,0.7967181080548024,0.5531446123135957,111.15652745807301,29.275238408418286,0.9526471555409405,3.4261756001315353,0.801992608947558,0.7914436071620469,0.7967181080548024,0.846554145076593,0.4478435702987336,FedAvg,imbalanced,0.39,0,1,42
