round,train_accuracy,train_logloss,train_precision_bin,train_recall_bin,train_f1_bin,train_precision_macro,train_recall_macro,train_f1_macro,train_tn,train_fp,train_fn,train_tp,train_sensitivity,train_specificity,train_balanced_accuracy,train_roc_auc,train_pr_auc,comm_download_bytes,comm_upload_bytes,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
7,0.7541528239202657,0.5238216731892311,0.12035638779824825,0.6651162790697674,0.20025133788000732,0.5527031108426457,0.7107632820302469,0.5265674144087025,109.88372093023256,37.651162790697676,1.6744186046511627,3.325581395348837,0.6651162790697674,0.7564102849907263,0.7107632820302469,0.7486325617063775,0.5385728878431465,48.0,48.0,FedAvg,imbalanced,0.39,0,0,1954324947
8,0.8522727272727273,0.36650125991214927,0.27954545454545454,0.3609625668449198,0.3025568181818182,0.6136823195187167,0.6168338513091187,0.6037943386261415,50.45454545454545,7.062500000000001,1.5170454545454546,3.0681818181818183,0.3609625668449198,0.8727051357733177,0.7617202149454825,,0.4657572582099391,48.0,48.0,FedAvg,imbalanced,0.39,0,0,1954324947
9,0.8361774744027304,0.3763142398758518,0.13419174681973317,0.7781569965870307,0.22885646776431756,0.5670958734098666,0.8035087288530949,0.5655040062521327,90.09215017064847,15.26962457337884,0.0,2.744027303754266,0.7781569965870307,0.8288604611191592,0.8956588995015591,,0.5621399078736963,48.0,48.0,FedAvg,imbalanced,0.39,0,0,1954324947
10,0.8564814814814815,0.33598924811498976,0.14003407147750122,0.5821502057613168,0.21722693242104218,0.5636920428633259,0.7220360606632035,0.5675048570937811,171.75308641975306,34.626543209876544,2.310185185185185,4.70216049382716,0.5821502057613168,0.8619219155650901,0.7220360606632035,0.8136641479076898,0.3546580169677023,48.0,48.0,FedAvg,imbalanced,0.39,0,0,1954324947
11,0.8472222222222222,0.4906934807797275,0.06711560044893378,0.4074074074074074,0.10925925925925925,0.5305800224466891,0.6285755134037577,0.5109747777791971,102.87777777777778,16.644444444444446,0.7444444444444445,1.2222222222222223,0.4074074074074074,0.8497436194001079,0.7799644022926466,,0.37262345679012343,48.0,48.0,FedAvg,imbalanced,0.39,0,0,1954324947
12,0.8291215403128761,0.43802602354837095,0.13788932898756193,0.7259125551544323,0.22437344370011653,0.5645024108478748,0.7785827830938158,0.5636007151819292,197.49939831528283,42.172081829121545,1.9675090252707583,5.953068592057761,0.7259125551544323,0.8312530110331993,0.8080653342370168,,0.3282703529162748,48.0,48.0,FedAvg,imbalanced,0.39,0,0,1954324947
13,0.9475138121546961,0.1649779628360053,0.2154696132596685,0.5331491712707181,0.3068851850132318,0.6049723756906077,0.7419117244056214,0.6388377841327624,106.0635359116022,3.0580110497237567,0.6685082872928176,1.4640883977900552,0.5331491712707181,0.9506742775405245,0.798541558659765,,0.5292500093960235,48.0,48.0,FedAvg,imbalanced,0.39,0,0,1954324947
14,0.850632911392405,0.35095636842020816,0.2652542749278259,0.979240506329114,0.40022032383446615,0.6309795586011442,0.9120835955042317,0.657221278595319,91.76708860759494,17.974683544303797,0.20759493670886076,5.526582278481013,0.979240506329114,0.8449266846793495,0.9120835955042317,0.9632507032348804,0.6817716143288114,48.0,48.0,FedAvg,imbalanced,0.39,0,0,1954324947
15,0.7374301675977654,1.1624375969696963,0.17057025403183304,0.8752327746741154,0.22723241996985014,0.5838343453260806,0.805981226556041,0.5306313573676411,88.9608938547486,29.59217877094972,0.3743016759776536,1.6648044692737431,0.8752327746741154,0.7367296784379664,0.805981226556041,0.924120921343931,0.3316343457693872,48.0,48.0,FedAvg,imbalanced,0.39,0,0,1954324947
16,0.8661800486618004,0.3732708377335263,0.23598540145985403,0.9286293592862935,0.36248497777050803,0.6165261807152619,0.8964041478817805,0.6435661282021383,120.35766423357663,18.43065693430657,0.4282238442822384,4.5036496350364965,0.9286293592862935,0.8641789364772672,0.8964041478817805,0.9395872502396224,0.6207928448010962,48.0,48.0,FedAvg,imbalanced,0.39,0,0,1954324947
