round,global_accuracy,global_logloss,global_precision_bin,global_recall_bin,global_f1_bin,global_precision_macro,global_recall_macro,global_f1_macro,global_tn,global_fp,global_fn,global_tp,global_sensitivity,global_specificity,global_balanced_accuracy,global_roc_auc,global_pr_auc,num-examples,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
0,0.5,0.6931471805599453,0.5,1.0,0.6666666666666666,0.25,0.5,0.3333333333333333,0,9661,0,9661,1.0,0.0,0.5,0.5,0.5,19322,FedAvg,balanced,0.39,0,0,1954324947
1,0.7572197495083325,0.5013418566386667,0.7233105679367362,0.8331435669185384,0.7743518206743951,0.7632906269022222,0.7572197495083324,0.7558121466855594,6582,3079,1612,8049,0.8331435669185384,0.6812959320981264,0.7572197495083324,0.85530319353889,0.8745128359440287,19322,FedAvg,balanced,0.39,0,0,1954324947
2,0.8203602111582652,0.4019774481812989,0.8091290451458251,0.8385260325018115,0.8235652925329131,0.8207836417995505,0.8203602111582653,0.8203009109862921,7750,1911,1560,8101,0.8385260325018115,0.802194389814719,0.8203602111582653,0.9065022404636738,0.9042062174310521,19322,FedAvg,balanced,0.39,0,0,1954324947
3,0.8209295104026498,0.40222453030566574,0.7836428506083616,0.8866576958906945,0.831973581973582,0.8265729447893435,0.8209295104026498,0.8201525343947236,7296,2365,1095,8566,0.8866576958906945,0.7552013249146051,0.8209295104026498,0.9045529807648309,0.8989177538292877,19322,FedAvg,balanced,0.39,0,0,1954324947
4,0.8246558327295311,0.385950153219801,0.8248575867426204,0.8243453058689577,0.8246013667425968,0.824655957951842,0.8246558327295311,0.8246558158216295,7970,1691,1697,7964,0.8243453058689577,0.8249663595901046,0.8246558327295311,0.9084111294206806,0.9058039965221952,19322,FedAvg,balanced,0.39,0,0,1954324947
5,0.8096987889452437,0.41280754685735693,0.8798882681564246,0.7173170479246455,0.7903290186462907,0.8206448155389847,0.8096987889452438,0.808060704898073,8715,946,2731,6930,0.7173170479246455,0.9020805299658421,0.8096987889452438,0.9087203170183216,0.9059177527134065,19322,FedAvg,balanced,0.39,0,0,1954324947
6,0.8219645999378946,0.39572493548621757,0.8623179965055329,0.7662767829417244,0.8114655266907815,0.8260085837980771,0.8219645999378946,0.8214107709931994,8479,1182,2258,7403,0.7662767829417244,0.8776524169340648,0.8219645999378946,0.9094272335645948,0.9072868264399658,19322,FedAvg,balanced,0.39,0,0,1954324947
7,0.8254321498809647,0.3854092971335585,0.8322062552831784,0.8152365179588035,0.8236339869281045,0.8255675220420762,0.8254321498809647,0.8254140015074971,8073,1588,1785,7876,0.8152365179588035,0.835627781803126,0.8254321498809647,0.9088468827224914,0.9067917913697481,19322,FedAvg,balanced,0.39,0,0,1954324947
8,0.8220681088914191,0.3882324565524731,0.8288764401226086,0.8117172135389711,0.8202070913084405,0.8222061949117252,0.822068108891419,0.8220490430417831,8042,1619,1819,7842,0.8117172135389711,0.8324190042438671,0.822068108891419,0.9067653252741275,0.9027785661561556,19322,FedAvg,balanced,0.39,0,0,1954324947
9,0.8233619708104751,0.38544748180133986,0.8125250100040016,0.8406997205258255,0.8263722846823015,0.8237512461557644,0.8233619708104751,0.8233088578833638,7787,1874,1539,8122,0.8406997205258255,0.8060242210951247,0.8233619708104751,0.9089621450475114,0.9068629515016784,19322,FedAvg,balanced,0.39,0,0,1954324947
