round,train_accuracy,train_logloss,train_precision_bin,train_recall_bin,train_f1_bin,train_precision_macro,train_recall_macro,train_f1_macro,train_tn,train_fp,train_fn,train_tp,train_sensitivity,train_specificity,train_balanced_accuracy,train_roc_auc,train_pr_auc,fl_algo,dataset_balance_type,fraction,failure_rate,iid
1,0.9267411300919842,0.14091706665451517,0.1277475809341775,0.07217377453908334,0.08419586326945065,0.5281805019065543,0.5109140829790808,0.5115911197341386,133.47339027595268,7.240473061760841,3.3814060446780556,0.8574244415243101,0.07217377453908334,0.9496543914190785,0.5109140829790808,,0.5386670335861968,FedAvg,imbalanced,0.39,0,1
2,0.9700756330154554,0.10745372625910533,0.25185428769776025,0.1032284606766685,0.13337738061141866,0.6351051128613173,0.5745859494034837,0.5825845301216619,139.75896086813546,0.1907267346267675,4.146004603748767,0.7148964156527459,0.1032284606766685,0.9985905936712396,0.5745859494034837,,0.6023400866091807,FedAvg,imbalanced,0.39,0,1
3,0.9713815789473684,0.10243246463117142,0.22420112781954887,0.06547017214087851,0.09844705088513139,0.6454878530369988,0.5798894302642572,0.5893402172258406,140.09375,0.09539473684210527,4.050000000000001,0.5240131578947369,0.06547017214087851,0.9992428989139519,0.5798894302642572,,0.5107864427250893,FedAvg,imbalanced,0.39,0,1
