round,train_accuracy,train_logloss,train_precision_bin,train_recall_bin,train_f1_bin,train_precision_macro,train_recall_macro,train_f1_macro,train_tn,train_fp,train_fn,train_tp,train_sensitivity,train_specificity,train_balanced_accuracy,train_roc_auc,train_pr_auc,comm_download_bytes,comm_upload_bytes,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
1,0.8088685015290521,0.4396472152388864,0.8128905429607596,0.8077435851108801,0.8094225096489407,0.8100103155014541,0.8090097919440657,0.8086076095683492,112.5711009174312,26.431192660550455,27.138888888888886,114.14525993883791,0.8077435851108801,0.8102759987772514,0.8090097919440657,0.8912695213249028,0.8934986944150223,48.000000000000014,48.000000000000014,FedAvg,balanced,0.39,0.3,1,428956419
2,0.8306777645659927,0.38878396688926375,0.8272330245461612,0.8320476783764826,0.8292038047506062,0.8309601941815159,0.8305759249388054,0.8303385311749922,117.664209274673,24.2038049940547,23.26872770511296,115.19738406658739,0.8320476783764826,0.8291041715011281,0.8305759249388054,0.9107140959788521,0.9060768370212027,48.00000000000001,48.00000000000001,FedAvg,balanced,0.39,0.3,1,428956419
3,0.8215984776403424,0.38799524906793836,0.8147984273970006,0.8311901397698116,0.8224724754845054,0.8217066151708132,0.8214733826313798,0.8210588487993042,113.73168411037105,26.400095147478588,23.599904852521405,116.53568030447192,0.8311901397698116,0.8117566254929481,0.8214733826313798,0.9091150424909386,0.9077822329695867,48.0,48.0,FedAvg,balanced,0.39,0.3,1,428956419
4,0.8215651287280142,0.39228310340668027,0.8226366952844553,0.8225491484515881,0.8220018409502229,0.8220790232680586,0.8212036626763771,0.8210660422463418,114.21259240377262,25.076217180729035,24.92684170277849,115.99923527912313,0.8225491484515881,0.8198581769011662,0.8212036626763771,0.9051607365349096,0.9088206481646492,47.99999999999999,47.99999999999999,FedAvg,balanced,0.39,0.3,1,428956419
5,0.8381270903010034,0.3678870491613411,0.8374828841321449,0.8393827840419666,0.8376928230628192,0.8386494817119904,0.8382471097297031,0.8377304367580329,117.3748049052397,22.873801560758086,22.498104793756966,117.56655518394648,0.8393827840419666,0.8371114354174395,0.8382471097297031,0.9181120147112467,0.916508285369304,47.99999999999999,47.99999999999999,FedAvg,balanced,0.39,0.3,1,428956419
6,0.8201469045120673,0.38628189463353685,0.8277404282627456,0.8147171564403637,0.8206068580380503,0.820503443068181,0.8201742307266913,0.8197161327751491,114.29087093389295,24.12172088142707,26.290870933892965,115.59139559286463,0.8147171564403637,0.8256313050130188,0.8201742307266913,0.9073948169844727,0.9117152406969634,48.00000000000001,48.00000000000001,FedAvg,balanced,0.39,0.3,1,428956419
7,0.8330883896703759,0.3734949993274814,0.8324968442228947,0.836942488792989,0.8339798535329519,0.834119386620057,0.8328312079665643,0.832720776371538,115.29099307159353,23.825740079781646,22.936804534956956,118.1234516061306,0.836942488792989,0.8287199271401395,0.8328312079665643,0.9155890114736037,0.9163087359777552,47.99999999999999,47.99999999999999,FedAvg,balanced,0.39,0.3,1,428956419
8,0.8224656138563422,0.3942028110259517,0.8129899211613728,0.8268238497466823,0.8194192869758521,0.8223345391124032,0.8225114095300173,0.8219496575797509,116.78400407539485,26.073357106469686,23.713703515028023,113.85838003056546,0.8268238497466823,0.8181989693133522,0.8225114095300173,0.9028764466393342,0.8952059178218272,48.000000000000014,48.000000000000014,FedAvg,balanced,0.39,0.3,1,428956419
9,0.8208481965913597,0.3941187267594429,0.8260457495775296,0.8153664935738366,0.8200394874711457,0.8211188539721014,0.8211377060771382,0.8204545900753368,115.33313515655965,24.168450257629804,26.050138723741576,114.78240190249703,0.8153664935738366,0.8269089185804396,0.8211377060771382,0.9037354599880579,0.9051077692133792,47.999999999999986,47.999999999999986,FedAvg,balanced,0.39,0.3,1,428956419
10,0.8305300713557593,0.38016015863633595,0.8278874509882619,0.8286412329696418,0.8277591132467271,0.8305628688392696,0.8306413693846211,0.8301175461559179,118.50611620795107,23.78414882772681,23.712538226299692,114.28363914373087,0.8286412329696418,0.8326415057996004,0.8306413693846211,0.9117701777101587,0.9100108258940867,48.000000000000014,48.000000000000014,FedAvg,balanced,0.39,0.3,1,428956419
11,0.8160856437002472,0.3926926538781925,0.8072175259063112,0.8233681942472261,0.8144866558784134,0.8168757138350762,0.8165799940185741,0.8159251713573056,115.53966511117213,27.15509195717815,24.38018116936591,113.15646445237442,0.8233681942472261,0.8097917937899218,0.8165799940185741,0.9046397212368362,0.9016662188126439,48.0,48.0,FedAvg,balanced,0.39,0.3,1,428956419
12,0.8260230849947531,0.38464809266019473,0.827004787658829,0.8273385341206284,0.8264532507341837,0.8267504920550128,0.8261276127875192,0.8257472495958043,115.17985309548793,24.46862539349423,24.29108079748164,116.35529905561384,0.8273385341206284,0.8249166914544102,0.8261276127875192,0.9095534949837684,0.9080907488265831,48.00000000000001,48.00000000000001,FedAvg,balanced,0.39,0.3,1,428956419
13,0.8350260774087293,0.3816703529979119,0.8341594053782201,0.840734742211523,0.8368607546046264,0.8355136542524488,0.8352004774478615,0.834778488829616,115.0776832281087,23.69475706835026,22.53554762558331,118.92341476804832,0.840734742211523,0.8296662126842002,0.8352004774478615,0.9099793313982847,0.9078034751488029,48.0,48.0,FedAvg,balanced,0.39,0.3,1,428956419
14,0.837001784651993,0.3740798682298155,0.8368661288094502,0.8422368174436529,0.8390025700054796,0.8376185965357356,0.8369028282755556,0.8367176858155948,115.08387864366449,23.331945270672218,22.333135038667457,119.41820345032721,0.8422368174436529,0.8315688391074584,0.8369028282755556,0.914982002800312,0.9139618197549071,47.999999999999986,47.999999999999986,FedAvg,balanced,0.39,0.3,1,428956419
15,0.8333790831732089,0.37641438022694357,0.8386560321236305,0.8255586889254447,0.8317022699124303,0.8334089286208097,0.8328269566220552,0.8327375497892519,117.46472687345594,22.306615426846005,24.38567115015097,116.07438923963767,0.8255586889254447,0.8400952243186657,0.8328269566220552,0.9122623254440908,0.9140523667941061,48.0,48.0,FedAvg,balanced,0.39,0.3,1,428956419
16,0.8314713572617067,0.3808695986808891,0.839143543889547,0.8191930823398543,0.8284362289905953,0.8319198660919793,0.8317683531376849,0.8311307855768391,118.8008081768481,22.003327787021625,25.265272165438546,114.39814594723079,0.8191930823398543,0.8443436239355155,0.8317683531376849,0.9114903464159859,0.9111924713408281,47.99999999999999,47.99999999999999,FedAvg,balanced,0.39,0.3,1,428956419
17,0.8265524625267668,0.3851195533324346,0.8303632197338455,0.8183144728750041,0.8239155184908831,0.8270172795878157,0.8265117552780278,0.8263596922502634,118.00023792529146,23.334285034499175,25.26457292410183,113.60147513680704,0.8183144728750041,0.8347090376810516,0.8265117552780278,0.9079181877786117,0.907075273588831,47.999999999999986,47.999999999999986,FedAvg,balanced,0.39,0.3,1,428956419
18,0.8351592356687899,0.3648812875778989,0.8258730723931352,0.8475601164055543,0.8359243684070272,0.8357965393856737,0.8352865762232367,0.8347442499412298,115.85299363057325,25.00127388535032,21.212993630573248,118.29070063694269,0.8475601164055543,0.8230130360409194,0.8352865762232367,0.9188926212380217,0.917475999601223,47.99999999999999,47.99999999999999,FedAvg,balanced,0.39,0.3,1,428956419
19,0.8194291986827663,0.3957293775142289,0.8168647288387272,0.823551659570498,0.8198682858366619,0.8195431730506075,0.8195021479483485,0.8191898723712762,114.53704720087815,25.849341383095506,24.76893523600439,115.15312843029638,0.823551659570498,0.8154526363261987,0.8195021479483485,0.9019484977250246,0.9004493561893474,48.000000000000014,48.000000000000014,FedAvg,balanced,0.39,0.3,1,428956419
20,0.8356011599375418,0.36612664885854396,0.8329824609138136,0.8347684685075437,0.8331277371430044,0.8357195385088358,0.8361985450903044,0.8352263173371752,118.75083649341958,23.123801026098597,22.932634396609412,115.38077180459514,0.8347684685075437,0.837628621673065,0.8361985450903044,0.9187291747897145,0.9144574408875896,47.999999999999986,47.999999999999986,FedAvg,balanced,0.39,0.3,1,428956419
