round,global_accuracy,global_logloss,global_precision_bin,global_recall_bin,global_f1_bin,global_precision_macro,global_recall_macro,global_f1_macro,global_tn,global_fp,global_fn,global_tp,global_sensitivity,global_specificity,global_balanced_accuracy,global_roc_auc,global_pr_auc,num-examples
126,0.9661,0.12093304597108691,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8657894969861795,0.3544922014771264,10000
127,0.9661,0.12086288973265533,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8589740888693067,0.3259033755867368,10000
128,0.9661,0.12159567256496641,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8603606203087009,0.39945152283882046,10000
129,0.9661,0.11996557316933718,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.863780079808762,0.3996310449224717,10000
130,0.9661,0.12225373038965752,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8765232838658242,0.3887484745047224,10000
131,0.9661,0.12117479380710026,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8717563759530687,0.39962014495800374,10000
132,0.9661,0.12206875964980454,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8647134924073587,0.3805854993566859,10000
133,0.9661,0.12226240183415485,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8647995972005561,0.4039173168001376,10000
134,0.9661,0.12199020427709979,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8760448221249013,0.38498864962739276,10000
135,0.9661,0.12075470684763587,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8656624771494063,0.376254069074669,10000
136,0.9661,0.120747668476621,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8756829987917849,0.35526313038090096,10000
137,0.9661,0.12041044072538203,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8616998246454513,0.3295513791861716,10000
138,0.9661,0.12077809868119566,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8696724567560049,0.34734912454152883,10000
139,0.9662,0.11915111881868656,1.0,0.0029498525073746312,0.0058823529411764705,0.9830983098309831,0.5014749262536873,0.49434504218778047,9661,0,338,1,0.0029498525073746312,1.0,0.5014749262536873,0.8639550374204713,0.3229457267952986,10000
140,0.9661,0.12209293623023681,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.877351050157874,0.36719355054480995,10000
141,0.9661,0.12023134113561182,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.873730679473686,0.37649868901471234,10000
142,0.9661,0.12161861851149083,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8749709548991031,0.37490023500031894,10000
143,0.9661,0.12187012471429552,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.869597954736359,0.3951781914747328,10000
144,0.9661,0.1229537432066199,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8712540979927507,0.3876577451973282,10000
145,0.9661,0.12183802395584371,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8644838796254991,0.3976354990695974,10000
146,0.9661,0.11849483016762008,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8652417239400941,0.37841252832579975,10000
147,0.9661,0.11913224542341812,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8697411573888753,0.36503043233230026,10000
148,0.9661,0.1217616894826728,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8797274813828918,0.3946054985620494,10000
149,0.9661,0.12235191933963659,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8645437255101328,0.38066591300253944,10000
150,0.9661,0.12343304967677803,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.87178202418934,0.37397522359778085,10000
151,0.9661,0.1232314933512078,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8602131429501395,0.362655266273572,10000
152,0.9661,0.125421358376962,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8602577220274685,0.3520277940861889,10000
153,0.9661,0.1229246699267584,0.0,0.0,0.0,0.48305,0.5,0.49137887187833784,9661,0,339,0,0.0,1.0,0.5,0.8527482848505333,0.3620099269289395,10000
