round,global_accuracy,global_logloss,global_precision_bin,global_recall_bin,global_f1_bin,global_precision_macro,global_recall_macro,global_f1_macro,global_tn,global_fp,global_fn,global_tp,global_sensitivity,global_specificity,global_balanced_accuracy,global_roc_auc,global_pr_auc,num-examples,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
0,0.5,0.6931471805599453,0.5,1.0,0.6666666666666666,0.25,0.5,0.3333333333333333,0,9661,0,9661,1.0,0.0,0.5,0.5,0.5,19322,FedAdagrad,balanced,1,0.3,1,1835732737
1,0.6944415691957354,0.6621514368178477,0.8759255553331999,0.45305868957664835,0.5972165370446173,0.753529967893476,0.6944415691957354,0.6755364766437129,9041,620,5284,4377,0.45305868957664835,0.9358244488148225,0.6944415691957354,0.8243710518595714,0.8214498645145241,19322,FedAdagrad,balanced,1,0.3,1,1835732737
2,0.739416209502122,0.6409332238333245,0.7291460273429761,0.7618258979401719,0.7451278157428499,0.7398981112007468,0.739416209502122,0.7392852800986471,6927,2734,2301,7360,0.7618258979401719,0.717006521064072,0.739416209502122,0.8270937841153796,0.8237985718799334,19322,FedAdagrad,balanced,1,0.3,1,1835732737
3,0.7393644550253597,0.626118311927875,0.722805665285673,0.7765241693406479,0.7487025948103793,0.7406938982807656,0.7393644550253597,0.7390040602518892,6784,2877,2159,7502,0.7765241693406479,0.7022047407100714,0.7393644550253597,0.830240559157917,0.8266854508650099,19322,FedAdagrad,balanced,1,0.3,1,1835732737
4,0.7462995549114998,0.6140140805695736,0.7400867722732317,0.7592381741020598,0.7495401594114041,0.7464645953598652,0.7462995549114999,0.7462570763499974,7085,2576,2326,7335,0.7592381741020598,0.7333609357209399,0.7462995549114999,0.8330045728543554,0.8293597104525511,19322,FedAdagrad,balanced,1,0.3,1,1835732737
5,0.7485249974122762,0.6042904580422246,0.7436079545454546,0.758617120380913,0.7510375570015884,0.7486262887031097,0.7485249974122762,0.7484993818363931,7134,2527,2332,7329,0.758617120380913,0.7384328744436394,0.7485249974122762,0.8348343274432086,0.831203873269498,19322,FedAdagrad,balanced,1,0.3,1,1835732737
6,0.7477486802608425,0.5958845602256904,0.7380407757334659,0.7681399441051651,0.752789612497464,0.7481614259588879,0.7477486802608426,0.7476437496130599,7027,2634,2240,7421,0.7681399441051651,0.7273574164165201,0.7477486802608426,0.8360458568342283,0.8322969715587079,19322,FedAdagrad,balanced,1,0.3,1,1835732737
7,0.7471276265396957,0.5885384213273338,0.735244851709528,0.7723838111996688,0.7533568904593639,0.7477597854971929,0.7471276265396958,0.74696622265349,6974,2687,2199,7462,0.7723838111996688,0.7218714418797226,0.7471276265396958,0.8367437521053884,0.8328801253017668,19322,FedAdagrad,balanced,1,0.3,1,1835732737
8,0.7499741227616189,0.5816471855807219,0.7385892116182573,0.7738329365490115,0.7558004347166759,0.7505446058091286,0.7499741227616189,0.7498317162184196,7015,2646,2185,7476,0.7738329365490115,0.7261153089742263,0.7499741227616189,0.8391403256236751,0.8351396087108238,19322,FedAdagrad,balanced,1,0.3,1,1835732737
9,0.7521995652623952,0.5754026491488156,0.7407370813160755,0.7760066245730256,0.7579617834394905,0.7527726271703734,0.7521995652623952,0.7520590382577581,7037,2624,2164,7497,0.7760066245730256,0.7283925059517649,0.7521995652623952,0.8415300635439549,0.8374119076747857,19322,FedAdagrad,balanced,1,0.3,1,1835732737
10,0.7542697443328847,0.569821269482509,0.7474564319532588,0.7680364351516407,0.7576066979783541,0.7544626491857832,0.7542697443328847,0.7542231642704533,7154,2507,2241,7420,0.7680364351516407,0.7405030535141289,0.7542697443328847,0.8422641939130157,0.8382407294725234,19322,FedAdagrad,balanced,1,0.3,1,1835732737
11,0.7555636062519407,0.5648548401294013,0.7461124401913876,0.7747645171307318,0.7601685878230844,0.7559410424853601,0.7555636062519409,0.7554734554333616,7114,2547,2176,7485,0.7747645171307318,0.7363626953731498,0.7555636062519409,0.8437609970227542,0.8397339359670206,19322,FedAdagrad,balanced,1,0.3,1,1835732737
12,0.7552530793913673,0.5600283919893453,0.7441100772124332,0.7780768036435152,0.7607144664271619,0.7557860581289931,0.7552530793913674,0.7551255187916753,7076,2585,2144,7517,0.7780768036435152,0.7324293551392196,0.7552530793913674,0.8446660494843082,0.8405530177833116,19322,FedAdagrad,balanced,1,0.3,1,1835732737
