round,train_accuracy,train_logloss,train_precision_bin,train_recall_bin,train_f1_bin,train_precision_macro,train_recall_macro,train_f1_macro,train_tn,train_fp,train_fn,train_tp,train_sensitivity,train_specificity,train_balanced_accuracy,train_roc_auc,train_pr_auc,comm_download_bytes,comm_upload_bytes,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
1,0.8008542445274961,0.438356542868116,0.7514406854088889,0.8330994870508608,0.7633099039982869,0.7259641474258677,0.8129746005726759,0.7383041028667604,124.39615589962624,34.57634810464495,30.60704751735184,141.66337426588362,0.8330994870508608,0.7928497140944912,0.8129746005726759,0.897360961105579,0.8666340137809762,48.00000000000001,48.00000000000001,FedAdagrad,balanced,0.39,0,0,428956419
2,0.8122743682310469,0.4207734481445938,0.7857230855111966,0.8318958767887188,0.7755126382318457,0.7291629509464338,0.8237614037274189,0.742476496586548,94.74332129963899,21.28231046931408,34.90270758122743,151.69620938628162,0.8318958767887188,0.8156269306661191,0.8237614037274189,0.9048406173591118,0.9061847030232572,48.0,48.0,FedAdagrad,balanced,0.39,0,0,428956419
3,0.8146027201145312,0.42083175563331887,0.7433901815850685,0.8178474223512348,0.7689519939081532,0.7717566537944925,0.8099453130518321,0.7816123642152724,156.6735862562634,36.28435934144595,27.09502505368647,123.76735862562634,0.8178474223512348,0.8020432037524292,0.8099453130518321,0.8922675873453347,0.8659481751213111,47.99999999999999,47.99999999999999,FedAdagrad,balanced,0.39,0,0,428956419
4,0.8073551421851614,0.4402276470812617,0.717434425801655,0.8054075246407767,0.7457134448068424,0.7438551169622757,0.8049290765272951,0.7523747981889057,133.1338464827881,33.305751550138986,22.13320504596964,103.14731665597606,0.8054075246407767,0.8044506284138141,0.8049290765272951,0.8757363753720607,0.8322611488865126,47.999999999999986,47.999999999999986,FedAdagrad,balanced,0.39,0,0,428956419
5,0.8154205607476634,0.4114966898311677,0.837566376071142,0.822862869673214,0.8185973851178281,0.7333572720081635,0.8054681728054394,0.7406244623433933,83.44996105919003,19.26090342679128,45.96845794392523,198.56873052959503,0.822862869673214,0.7880734759376646,0.8054681728054394,0.8968027918035298,0.914456329332416,48.00000000000001,48.00000000000001,FedAdagrad,balanced,0.39,0,0,428956419
6,0.8123966942148759,0.44371948656703664,0.8313140749726294,0.8212635942078026,0.8103386930363426,0.743653484747034,0.806210404802773,0.7501058605885212,82.82933884297519,19.900619834710746,34.51549586776859,159.75247933884296,0.8212635942078026,0.7911572153977428,0.806210404802773,0.8878443525775012,0.9046557924897851,48.00000000000001,48.00000000000001,FedAdagrad,balanced,0.39,0,0,428956419
7,0.8279712339137016,0.39421648263995057,0.771971895439408,0.8151081187279242,0.7817286896587139,0.74126114100361,0.7919326777962947,0.7512085827990859,126.51816805450417,28.01551854655564,29.05980317940954,139.06548069644214,0.8151081187279242,0.7687572368646651,0.7919326777962947,0.8866283485034658,0.8772208013450642,48.0,48.0,FedAdagrad,balanced,0.39,0,0,428956419
8,0.8122897113511597,0.417779326102516,0.8139574072909076,0.8203435537406712,0.8043771633570652,0.7591631949465681,0.8240469595786806,0.7669687671475293,117.07349034885779,24.688684257127676,39.31078448733841,166.31060740216043,0.8203435537406712,0.8277503654166897,0.8240469595786806,0.9036439550199646,0.9003615204789231,48.0,48.0,FedAdagrad,balanced,0.39,0,0,428956419
9,0.8046087373979836,0.4220345848855165,0.7562495491531716,0.8116314236375451,0.757061648801848,0.7249785161617853,0.8003339415866442,0.7322654504600901,224.81517042726838,50.10337654024645,42.69947191550647,173.30772923667783,0.8116314236375451,0.7890364595357434,0.8003339415866442,0.8907017442604153,0.8631255776115734,47.99999999999999,47.99999999999999,FedAdagrad,balanced,0.39,0,0,428956419
10,0.8186108243621885,0.4073930967450923,0.7341051427497857,0.8112185478243643,0.7516805361876274,0.7516113029699821,0.8135919335870766,0.762795760477217,268.39654918153667,57.536646512313816,40.53664651231382,176.9548739124023,0.8112185478243643,0.8159653193497887,0.8135919335870766,0.897586591840726,0.855687668751055,48.0,48.0,FedAdagrad,balanced,0.39,0,0,428956419
11,0.8126578017168827,0.45272340799287547,0.7104690998351557,0.8273690067257412,0.7432763623555984,0.7554368281955974,0.8147336367729853,0.7610433266099788,184.51607473489312,41.64214778656792,26.196936542669583,126.60781013297427,0.8273690067257412,0.8020982668202293,0.8147336367729853,0.8943565412797322,0.8494618451083512,48.0,48.0,FedAdagrad,balanced,0.39,0,0,428956419
12,0.816758026624902,0.4184928101519826,0.695606321673105,0.8403223343130451,0.7226362867033963,0.7297736626443019,0.8111442267098172,0.7394143577474686,186.04839467501958,47.63993735317148,25.76444792482381,130.55896632732967,0.8403223343130451,0.7819661191065896,0.8111442267098172,0.9066433479171616,0.8413077344883019,47.99999999999999,47.99999999999999,FedAdagrad,balanced,0.39,0,0,428956419
13,0.8262505225024382,0.40040966702010844,0.7980973522947303,0.8421454647658319,0.8092414193727051,0.7708133820204377,0.8191023722830127,0.7786745955033246,199.54005852027308,47.74557614602201,47.303748084157725,228.9384143792671,0.8421454647658319,0.7960592798001933,0.8191023722830127,0.8942586416719415,0.8944491301643742,47.99999999999999,47.99999999999999,FedAdagrad,balanced,0.39,0,0,428956419
14,0.812028869286287,0.4133603081853784,0.7064415637632192,0.8208729779041086,0.7402164928818533,0.7508444531259811,0.8089856677501618,0.760629490808661,281.995669607057,65.3821972734563,38.491098636728154,184.02758620689656,0.8208729779041086,0.7970983575962152,0.8089856677501618,0.8953974690109142,0.848781454298967,48.00000000000001,48.00000000000001,FedAdagrad,balanced,0.39,0,0,428956419
15,0.8271446862996158,0.41898801324491025,0.6719275899026586,0.8269428417115101,0.7121636188699361,0.7100425335685836,0.7981185344760259,0.7234813277123724,187.7293533930858,42.18037772087068,25.076344430217674,132.3513124199744,0.8269428417115101,0.7692942272405419,0.7981185344760259,0.8825095594215151,0.787937097236024,48.0,48.0,FedAdagrad,balanced,0.39,0,0,428956419
16,0.8232097186700766,0.40512368966509615,0.7035913960997638,0.8346785830045589,0.7492198304791388,0.7588731366877539,0.8216059076156792,0.773825135908174,182.72794117647058,43.21403452685422,23.969948849104867,126.20796035805627,0.8346785830045589,0.8085332322267997,0.8216059076156792,0.8987845247557698,0.8351525847979089,47.99999999999999,47.99999999999999,FedAdagrad,balanced,0.39,0,0,428956419
17,0.8228121623707363,0.3947991576910132,0.7624830418684575,0.8225699481789879,0.7746598244043307,0.7639643268579334,0.8165294614931012,0.7735730515489344,218.59006019447446,45.27488810001544,37.21700879765395,177.83191850594227,0.8225699481789879,0.8104889748072146,0.8165294614931012,0.9035148185496281,0.8766545430063654,48.0,48.0,FedAdagrad,balanced,0.39,0,0,428956419
18,0.8224811514736121,0.40844260340129734,0.830331039774631,0.8285823280876677,0.8171124516097695,0.7682693433947753,0.820282664975951,0.7798088186252071,141.08944482522276,31.868231665524334,46.253255654557925,219.09818368745718,0.8285823280876677,0.8119830018642341,0.820282664975951,0.9017243411711281,0.9033555630339272,47.99999999999999,47.99999999999999,FedAdagrad,balanced,0.39,0,0,428956419
19,0.8374274229566769,0.4080520615275469,0.8377092327885204,0.8523436534477223,0.8357324280214555,0.7844083573877273,0.8518315837866189,0.791139107035295,106.22554711924968,18.63756141134435,23.615453327378294,118.69964269763287,0.8523436534477223,0.8513195141255153,0.8518315837866189,0.920261638173426,0.914875937886961,48.0,48.0,FedAdagrad,balanced,0.39,0,0,428956419
20,0.8163132561467412,0.4138802164095146,0.6909544465070109,0.8115863872032169,0.7193600954199747,0.731289350896085,0.8105945381234443,0.7429278899503922,309.538441524652,66.33719266293743,44.44802914010668,200.3021985169767,0.8115863872032169,0.8096026890436717,0.8105945381234443,0.8945560551792199,0.8250323904132782,48.0,48.0,FedAdagrad,balanced,0.39,0,0,428956419
21,0.8072892938496584,0.4309394310322757,0.7836362566577971,0.8019993883139244,0.7620047929628782,0.7100679327270998,0.8100348200722736,0.7192196958825294,135.8958238420653,30.644191343963552,59.18192862566439,244.01731207289296,0.8019993883139244,0.8180702518306227,0.8100348200722736,0.8853250649912271,0.8630120669745803,47.99999999999999,47.99999999999999,FedAdagrad,balanced,0.39,0,0,428956419
22,0.8188422779470351,0.4213562464411958,0.7256153480924618,0.8344664909370402,0.7366255556123784,0.7038524436551552,0.8158995545351245,0.715289025226496,107.81298336067493,21.698148582142018,22.463088821185845,106.39442231075695,0.8344664909370402,0.7973326181332088,0.8158995545351245,0.8898598306316724,0.8507716640163516,48.0,48.0,FedAdagrad,balanced,0.39,0,0,428956419
23,0.8136371990442935,0.4174723261537127,0.7143579929934327,0.8218481174526789,0.733497550178497,0.7343938110851661,0.8174115296233209,0.7453286846639205,138.5976842492189,33.270354714206945,27.949641609998164,130.5206763462599,0.8218481174526789,0.8129749417939629,0.8174115296233209,0.8994885604305695,0.843964702867191,48.0,48.0,FedAdagrad,balanced,0.39,0,0,428956419
24,0.8103739898515314,0.41804801979536466,0.8206809742137858,0.8239189373585161,0.8021157511280326,0.7609261649200316,0.8209578308602937,0.7674422612997358,114.89193760571321,25.99511370043225,36.40856981770344,162.93986092839697,0.8239189373585161,0.8179967243620715,0.8209578308602937,0.9038954680982318,0.896750388410077,48.0,48.0,FedAdagrad,balanced,0.39,0,0,428956419
