round,train_accuracy,train_logloss,train_precision_bin,train_recall_bin,train_f1_bin,train_precision_macro,train_recall_macro,train_f1_macro,train_tn,train_fp,train_fn,train_tp,train_sensitivity,train_specificity,train_balanced_accuracy,train_roc_auc,train_pr_auc,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
1,0.9644970414201186,0.1291240879376895,0.17411790488713566,0.05936335744028051,0.08850337696491542,0.5694184779112033,0.5295077151828975,0.5351661548378542,139.335963182117,0.04766600920447074,5.094674556213017,0.3796844181459566,0.05936335744028051,0.9996520729255147,0.5295077151828975,0.855327880920346,0.560623904648045,FedAvg,imbalanced,0.39,0,1,428956419
2,0.9704142011834319,0.10399671399582394,0.41277668200745116,0.10151398933450216,0.15783006167621552,0.6916896419042432,0.5505817519863522,0.5713543872461914,140.00131492439186,0.04766600920447074,4.2373438527284675,0.571663379355687,0.10151398933450216,0.9996495146382023,0.5505817519863522,0.908022422635309,0.5678827366030996,FedAvg,imbalanced,0.39,0,1,428956419
3,0.9684418145956608,0.10725853333967832,0.3889436774052158,0.1283487523872139,0.17330390407313487,0.67896759021193,0.56383987376518,0.5785869075006533,139.71531886916503,0.09533201840894148,4.475673898750823,0.571663379355687,0.1283487523872139,0.999330995143146,0.56383987376518,0.887239138606275,0.5712670313550444,FedAvg,imbalanced,0.39,0,1,428956419
